ID NO, Season Year, Player Name
14411,1999,Tim Thomas
14456,1999,Scott Williams
14518,2000,Bruce Bowen
14521,2000,Ira Bowman
14639,2000,Matt Geiger
14672,2000,Tyrone Hill
14681,2000,Larry Hughes
14685,2000,Allen Iverson*
14711,2000,Jumaine Jones
14729,2000,Toni Kukoc
14735,2000,Antonio Lang
14747,2000,George Lynch
14748,2000,Todd MacCulloch
14774,2000,Aaron McKie
14789,2000,Nazr Mohammed
14810,2000,Kevin Ollie
14816,2000,Billy Owens
14844,2000,Theo Ratliff
14856,2000,Stanley Roberts
14883,2000,Eric Snow
14994,2001,Raja Bell
15032,2001,Rodney Buford
15138,2001,Matt Geiger
15174,2001,Tyrone Hill
15186,2001,Allen Iverson*
15209,2001,Jumaine Jones
15226,2001,Toni Kukoc
15245,2001,George Lynch
15246,2001,Todd MacCulloch
15265,2001,Vernon Maxwell
15276,2001,Aaron McKie
15279,2001,Roshown McLeod
15291,2001,Anthony Miller
15300,2001,Nazr Mohammed
15316,2001,Dikembe Mutombo*
15336,2001,Kevin Ollie
15378,2001,Theo Ratliff
15409,2001,Pepe Sanchez
15422,2001,Eric Snow
15545,2002,Raja Bell
15553,2002,Corie Blount
15560,2002,Ira Bowman
15569,2002,Damone Brown
15600,2002,Speedy Claxton
15602,2002,Derrick Coleman
15614,2002,Vonteego Cummings
15618,2002,Samuel Dalembert
15673,2002,Matt Geiger
15693,2002,Matt Harpring
15721,2002,Allen Iverson*
15733,2002,Tim James
15746,2002,Alvin Jones
15802,2002,Derrick McKey
15803,2002,Aaron McKie
15829,2002,Dikembe Mutombo*
15912,2002,Michael Ruffin
15930,2002,Jabari Smith
15934,2002,Eric Snow
16072,2003,Mark Bryant
16075,2003,Greg Buckner
16096,2003,Derrick Coleman
16198,2003,Tyrone Hill
16213,2003,Allen Iverson*
16257,2003,Art Long
16262,2003,Todd MacCulloch
16288,2003,Aaron McKie
16369,2003,Efthimi Rentzias
16386,2003,John Salmons
16393,2003,Kenny Satterfield
16400,2003,Brian Skinner
16406,2003,Eric Snow
16428,2003,Kenny Thomas
16441,2003,Keith Van
16474,2003,Monty Williams
16577,2004,Greg Buckner
16602,2004,Derrick Coleman
16614,2004,Samuel Dalembert
16694,2004,Willie Green
16702,2004,Zendon Hamilton
16738,2004,Allen Iverson*
16741,2004,Marc Jackson
16780,2004,Kyle Korver
16817,2004,Amal McCaskill
16826,2004,Aaron McKie
16937,2004,Glenn Robinson
16949,2004,John Salmons
16963,2004,Eric Snow
16993,2004,Kenny Thomas
17146,2005,Michael Bradley
17154,2005,Kedrick Brown
17204,2005,Samuel Dalembert
17216,2005,Josh Davis
17281,2005,Willie Green
17327,2005,Andre Iguodala
17330,2005,Allen Iverson*
17338,2005,Marc Jackson
17376,2005,Kyle Korver
17413,2005,Aaron McKie
17466,2005,Kevin Ollie
17520,2005,Rodney Rogers
17531,2005,John Salmons
17540,2005,Brian Skinner
17585,2005,Kenny Thomas
17623,2005,Chris Webber
17652,2005,Corliss Williamson
17696,2006,Matt Barnes
17733,2006,Michael Bradley
17776,2006,Samuel Dalembert
17840,2006,Deng Gai
17863,2006,Willie Green
17871,2006,Zendon Hamilton
17900,2006,Steven Hunter
17901,2006,Andre Iguodala
17904,2006,Allen Iverson*
17950,2006,Kyle Korver
18018,2006,Lee Nailon
18035,2006,Kevin Ollie
18076,2006,Shavlik Randolph
18100,2006,John Salmons
18147,2006,James Thomas
18189,2006,Chris Webber
18211,2006,Lou Williams
18236,2007,Lou Amundson
18305,2007,Rodney Carney
18326,2007,Samuel Dalembert
18397,2007,Willie Green
18421,2007,Alan Henderson
18440,2007,Steven Hunter
18441,2007,Andre Iguodala
18447,2007,Allen Iverson*
18478,2007,Bobby Jones
18500,2007,Kyle Korver
18531,2007,Ivan McFarlin
18544,2007,Andre Miller
18577,2007,Kevin Ollie
18613,2007,Shavlik Randolph
18656,2007,Joe Smith
18658,2007,Steven Smith
18709,2007,Chris Webber
18728,2007,Lou Williams
18758,2008,Lou Amundson
18802,2008,Calvin Booth
18833,2008,Rodney Carney
18860,2008,Samuel Dalembert
18903,2008,Reggie Evans
18938,2008,Gordan Giricek
18957,2008,Willie Green
19002,2008,Andre Iguodala
19062,2008,Kyle Korver
19108,2008,Andre Miller
19152,2008,Kevin Ollie
19185,2008,Shavlik Randolph
19223,2008,Jason Smith
19313,2008,Lou Williams
19337,2008,Thaddeus Young
19412,2009,Elton Brand
19469,2009,Samuel Dalembert
19511,2009,Reggie Evans
19553,2009,Willie Green
19599,2009,Andre Iguodala
19605,2009,Royal Ivey
19673,2009,Donyell Marshall
19698,2009,Andre Miller
19778,2009,Theo Ratliff
19801,2009,Kareem Rush
19841,2009,Marreese Speights
19902,2009,Lou Williams
19919,2009,Thaddeus Young
19987,2010,Elton Brand
19993,2010,Primoz Brezec
20019,2010,Rodney Carney
20043,2010,Samuel Dalembert
20076,2010,Francisco Elson
20125,2010,Willie Green
20161,2010,Jrue Holiday
20186,2010,Andre Iguodala
20192,2010,Allen Iverson*
20194,2010,Royal Ivey
20232,2010,Jason Kapono
20296,2010,Jodie Meeks
20407,2010,Jason Smith
20411,2010,Marreese Speights
20485,2010,Lou Williams
20499,2010,Thaddeus Young
20552,2011,Tony Battie
20584,2011,Craig Brackins
20586,2011,Elton Brand
20657,2011,Antonio Daniels
20774,2011,Spencer Hawes
20791,2011,Jrue Holiday
20801,2011,Andre Iguodala
20844,2011,Jason Kapono
20894,2011,Jodie Meeks
20925,2011,Andres Nocioni
21017,2011,Darius Songaila
21018,2011,Marreese Speights
21059,2011,Evan Turner
21103,2011,Lou Williams
21125,2011,Thaddeus Young
21133,2012,Lavoy Allen
21162,2012,Tony Battie
21186,2012,Craig Brackins
21188,2012,Elton Brand
21271,2012,Francisco Elson
21347,2012,Spencer Hawes
21369,2012,Jrue Holiday
21385,2012,Andre Iguodala
21477,2012,Jodie Meeks
21503,2012,Andres Nocioni
21560,2012,Xavier Silas
21612,2012,Evan Turner
21626,2012,Nikola Vucevic
21655,2012,Lou Williams
21676,2012,Sam Young
21677,2012,Thaddeus Young
21687,2013,Lavoy Allen
21755,2013,Kwame Brown
21898,2013,Spencer Hawes
21914,2013,Jrue Holiday
21915,2013,Justin Holiday
21927,2013,Royal Ivey
21941,2013,Charles Jenkins
22008,2013,Shelvin Mack
22056,2013,Arnett Moultrie
22082,2013,Jeremy Pargo
22115,2013,Jason Richardson
22196,2013,Evan Turner
22226,2013,Maalik Wayns
22234,2013,Damien Wilkins
22245,2013,Dorell Wright
22247,2013,Nick Young
22249,2013,Thaddeus Young
22265,2014,Lavoy Allen
22275,2014,James Anderson
22344,2014,Lorenzo Brown
22369,2014,Michael Carter-Williams
22406,2014,Brandon Davies
22420,2014,Dewayne Dedmon
22515,2014,Spencer Hawes
22567,2014,Darius Johnson-Odom
22623,2014,Eric Maynor
22651,2014,Darius Morris
22658,2014,Arnett Moultrie
22663,2014,Byron Mullens
22680,2014,James Nunnally
22689,2014,Daniel Orton
22753,2014,Henry Sims
22789,2014,Adonis Thomas
22795,2014,Hollis Thompson
22808,2014,Evan Turner
22819,2014,Jarvis Varnado
22834,2014,Casper Ware
22847,2014,Elliot Williams
22859,2014,Tony Wroten
22861,2014,Thaddeus Young
22873,2015,Furkan Aldemir
22962,2015,Isaiah Canaan
22967,2015,Michael Carter-Williams
22991,2015,Robert Covington
23010,2015,Brandon Davies
23035,2015,Larry Drew
23062,2015,Tim Frazier
23087,2015,Drew Gordon
23091,2015,Jerami Grant
23168,2015,Chris Johnson
23210,2015,Malcolm Lee
23235,2015,Luc Mbah
23240,2015,K.J. McDaniels
23246,2015,JaVale McGee
23293,2015,Nerlens Noel
23354,2015,Jason Richardson
23363,2015,Glenn Robinson
23369,2015,Thomas Robinson
23380,2015,JaKarr Sampson
23394,2015,Alexey Shved
23397,2015,Henry Sims
23406,2015,Ish Smith
23442,2015,Malcolm Thomas
23444,2015,Hollis Thompson
23508,2015,Tony Wroten
23580,2016,Elton Brand
23599,2016,Isaiah Canaan
23624,2016,Robert Covington
23702,2016,Jerami Grant
23760,2016,Richaun Holmes
23825,2016,Carl Landry
23857,2016,Kendall Marshall
23870,2016,T.J. McConnell
23917,2016,Nerlens Noel
23927,2016,Jahlil Okafor
23954,2016,Phil Pressey
23982,2016,JaKarr Sampson
23999,2016,Ish Smith
24009,2016,Nik Stauskas
24029,2016,Hollis Thompson
24068,2016,Sonny Weems
24084,2016,Christian Wood
24088,2016,Tony Wroten
24112,2017,Justin Anderson
24134,2017,Jerryd Bayless
24209,2017,Robert Covington
24244,2017,Joel Embiid
24294,2017,Jerami Grant
24308,2017,Justin Harper
24322,2017,Gerald Henderson
24341,2017,Richaun Holmes
24356,2017,Ersan Ilyasova
24424,2017,Shawn Long
24431,2017,Timothe Luwawu-Cabarrot
24444,2017,T.J. McConnell
24495,2017,Nerlens Noel
24509,2017,Jahlil Okafor
24543,2017,Alex Poythress
24547,2017,Chasson Randle
24560,2017,Sergio Rodriguez
24573,2017,Dario Saric
24594,2017,Tiago Splitter
24595,2017,Nik Stauskas
24615,2017,Hollis Thompson
ID NO, Season Year, Player Name
8481,1987,Jim Lampley
8504,1987,Tim McCormick
8515,1987,Mark McNamara
8569,1987,Cliff Robinson
8575,1987,Jeff Ruland
8619,1987,Sedale Threatt
8622,1987,Andrew Toney
8636,1987,Danny Vranes
8668,1987,David Wingate
8695,1988,Vincent Askew
8699,1988,Charles Barkley*
8731,1988,Maurice Cheeks
8734,1988,Ben Coleman
8737,1988,Steve Colter
8803,1988,Mike Gminski
8822,1988,Dave Henderson
8825,1988,Gerald Henderson
8835,1988,Roy Hinson
8871,1988,Albert King
8902,1988,Tim McCormick
8914,1988,Mark McNamara
8979,1988,Cliff Robinson
9031,1988,Bob Thornton
9040,1988,Andrew Toney
9054,1988,Danny Vranes
9068,1988,Chris Welp
9094,1988,David Wingate
9125,1989,Ron Anderson
9131,1989,Charles Barkley*
9150,1989,Scott Brooks
9167,1989,Maurice Cheeks
9169,1989,Ben Coleman
9232,1989,Mike Gminski
9259,1989,Hersey Hawkins
9260,1989,Gerald Henderson
9296,1989,Shelton Jones
9365,1989,Pete Myers
9418,1989,Cliff Robinson
9427,1989,Jim Rowinski
9451,1989,Derek Smith
9479,1989,Bob Thornton
9508,1989,Chris Welp
9536,1989,David Wingate
9557,1990,Ron Anderson
9564,1990,Charles Barkley*
9586,1990,Scott Brooks
9621,1990,Lanard Copeland
9634,1990,Johnny Dawkins
9668,1990,Corey Gaines
9679,1990,Mike Gminski
9707,1990,Hersey Hawkins
9783,1990,Lewis Lloyd
9792,1990,Rick Mahorn
